timestamp,EMG
2024-05-29_12-11-04.217568,.34
2024-05-29_12-11-04.217750,56.09
2024-05-29_12-11-04.217868,41.85
2024-05-29_12-11-05.870302,87.28
2024-05-29_12-11-05.902926,53.38
2024-05-29_12-11-05.935673,39.70
2024-05-29_12-11-05.968417,50.75
2024-05-29_12-11-06.001183,52.25
2024-05-29_12-11-06.034018,43.36
2024-05-29_12-11-06.062643,54.24
2024-05-29_12-11-06.095399,38.40
2024-05-29_12-11-06.128142,59.26
2024-05-29_12-11-06.160910,69.61
2024-05-29_12-11-06.193691,88.74
2024-05-29_12-11-06.226462,62.58
2024-05-29_12-11-06.259263,62.54
2024-05-29_12-11-06.291943,43.66
2024-05-29_12-11-06.321240,49.57
2024-05-29_12-11-06.353476,42.13
2024-05-29_12-11-06.386204,53.33
2024-05-29_12-11-06.418917,48.37
2024-05-29_12-11-06.451708,44.01
2024-05-29_12-11-06.484469,41.10
2024-05-29_12-11-06.517317,70.02
2024-05-29_12-11-06.545910,66.93
2024-05-29_12-11-06.578701,86.54
2024-05-29_12-11-06.611474,71.30
2024-05-29_12-11-06.644258,50.71
2024-05-29_12-11-06.677003,40.57
2024-05-29_12-11-06.709780,51.89
2024-05-29_12-11-06.742515,49.41
2024-05-29_12-11-06.771222,46.33
2024-05-29_12-11-06.803959,53.50
2024-05-29_12-11-06.836761,41.54
2024-05-29_12-11-06.869530,52.98
2024-05-29_12-11-06.902304,57.04
2024-05-29_12-11-06.935084,66.36
2024-05-29_12-11-06.967811,70.49
2024-05-29_12-11-06.996448,76.52
2024-05-29_12-11-07.029301,38.50
2024-05-29_12-11-07.062010,51.91
2024-05-29_12-11-07.094766,41.71
2024-05-29_12-11-07.127545,52.95
2024-05-29_12-11-07.160307,52.16
2024-05-29_12-11-07.193079,43.38
2024-05-29_12-11-07.225745,50.35
2024-05-29_12-11-07.254668,43.17
2024-05-29_12-11-07.287383,51.83
2024-05-29_12-11-07.320127,79.01
2024-05-29_12-11-07.352818,75.77
2024-05-29_12-11-07.385549,58.07
2024-05-29_12-11-07.418351,39.11
2024-05-29_12-11-07.451094,52.23
2024-05-29_12-11-07.479781,51.21
2024-05-29_12-11-07.512546,43.72
2024-05-29_12-11-07.545322,54.25
2024-05-29_12-11-07.578074,44.73
2024-05-29_12-11-07.610854,51.54
2024-05-29_12-11-07.643658,43.82
2024-05-29_12-11-07.676387,81.95
2024-05-29_12-11-07.705044,70.57
2024-05-29_12-11-07.737861,63.41
2024-05-29_12-11-07.770612,47.61
2024-05-29_12-11-07.803422,49.65
2024-05-29_12-11-07.836206,41.58
2024-05-29_12-11-07.868964,56.25
2024-05-29_12-11-07.901777,48.77
2024-05-29_12-11-07.930362,43.45
2024-05-29_12-11-07.963131,51.11
2024-05-29_12-11-07.996027,40.78
2024-05-29_12-11-08.028847,61.48
2024-05-29_12-11-08.061447,68.94
2024-05-29_12-11-08.094215,85.00
2024-05-29_12-11-08.126947,45.49
2024-05-29_12-11-08.159695,39.31
2024-05-29_12-11-08.188391,50.66
2024-05-29_12-11-08.221140,49.01
2024-05-29_12-11-08.253898,44.26
2024-05-29_12-11-08.286999,53.09
2024-05-29_12-11-08.319759,43.65
2024-05-29_12-11-08.353108,51.63
2024-05-29_12-11-08.385306,39.19
2024-05-29_12-11-08.414162,69.20
2024-05-29_12-11-08.446994,69.88
2024-05-29_12-11-08.479407,52.19
2024-05-29_12-11-08.511987,42.67
2024-05-29_12-11-08.544710,51.63
2024-05-29_12-11-08.577470,41.93
2024-05-29_12-11-08.610231,54.00
2024-05-29_12-11-08.638892,51.24
2024-05-29_12-11-08.671685,44.13
2024-05-29_12-11-08.704438,47.04
2024-05-29_12-11-08.737241,76.98
2024-05-29_12-11-08.769995,44.16
2024-05-29_12-11-08.802713,86.09
2024-05-29_12-11-08.835479,66.80
2024-05-29_12-11-08.868227,44.19
2024-05-29_12-11-08.896912,41.10
2024-05-29_12-11-08.929741,53.20
2024-05-29_12-11-08.962507,49.12
2024-05-29_12-11-08.995266,43.38
2024-05-29_12-11-09.027983,55.55
2024-05-29_12-11-09.060770,40.62
2024-05-29_12-11-09.093700,51.44
2024-05-29_12-11-09.122279,40.64
2024-05-29_12-11-09.155100,86.52
2024-05-29_12-11-09.187781,74.25
2024-05-29_12-11-09.220515,32.78
2024-05-29_12-11-09.253280,42.98
2024-05-29_12-11-09.287603,49.91
2024-05-29_12-11-09.318797,43.06
2024-05-29_12-11-09.347485,55.73
2024-05-29_12-11-09.380209,49.04
2024-05-29_12-11-09.413034,44.69
2024-05-29_12-11-09.445797,53.32
2024-05-29_12-11-09.478557,42.29
2024-05-29_12-11-09.511322,62.43
2024-05-29_12-11-09.544090,78.91
2024-05-29_12-11-09.572801,51.88
2024-05-29_12-11-09.605550,49.70
2024-05-29_12-11-09.638362,43.55
2024-05-29_12-11-09.671080,51.00
2024-05-29_12-11-09.703807,48.95
2024-05-29_12-11-09.736710,45.89
2024-05-29_12-11-09.769451,53.44
2024-05-29_12-11-09.802122,41.20
2024-05-29_12-11-09.830819,51.67
2024-05-29_12-11-09.863563,77.72
2024-05-29_12-11-09.896289,73.77
2024-05-29_12-11-09.929110,48.14
2024-05-29_12-11-09.961880,46.01
2024-05-29_12-11-09.994643,42.70
2024-05-29_12-11-10.027384,50.40
2024-05-29_12-11-10.056085,40.91
2024-05-29_12-11-10.088846,55.42
2024-05-29_12-11-10.121622,49.18
2024-05-29_12-11-10.154374,43.38
2024-05-29_12-11-10.187191,53.98
2024-05-29_12-11-10.220171,37.36
2024-05-29_12-11-10.252882,86.21
2024-05-29_12-11-10.282387,82.15
2024-05-29_12-11-10.314137,33.82
2024-05-29_12-11-10.346879,52.35
2024-05-29_12-11-10.379661,43.38
2024-05-29_12-11-10.412441,51.78
2024-05-29_12-11-10.445192,48.57
2024-05-29_12-11-10.478089,45.18
2024-05-29_12-11-10.510720,54.84
2024-05-29_12-11-10.539399,41.35
2024-05-29_12-11-10.572151,46.92
2024-05-29_12-11-10.604935,79.26
2024-05-29_12-11-10.637688,82.36
2024-05-29_12-11-10.670461,59.47
2024-05-29_12-11-10.703207,49.97
2024-05-29_12-11-10.735976,43.82
2024-05-29_12-11-10.764640,51.40
2024-05-29_12-11-10.797463,44.77
2024-05-29_12-11-10.830193,54.01
2024-05-29_12-11-10.863436,49.48
2024-05-29_12-11-10.895867,47.35
2024-05-29_12-11-10.928553,50.62
2024-05-29_12-11-10.961219,66.88
2024-05-29_12-11-10.989967,83.83
2024-05-29_12-11-11.022717,52.33
2024-05-29_12-11-11.055542,38.42
2024-05-29_12-11-11.088290,55.55
2024-05-29_12-11-11.121011,40.71
2024-05-29_12-11-11.153772,51.18
2024-05-29_12-11-11.186534,52.76
2024-05-29_12-11-11.215206,43.47
2024-05-29_12-11-11.247962,53.70
2024-05-29_12-11-11.280887,44.02
2024-05-29_12-11-11.313765,63.95
2024-05-29_12-11-11.346342,89.22
2024-05-29_12-11-11.379010,75.17
2024-05-29_12-11-11.411808,33.42
2024-05-29_12-11-11.444622,49.66
2024-05-29_12-11-11.473242,44.51
2024-05-29_12-11-11.506023,52.72
2024-05-29_12-11-11.538777,42.16
2024-05-29_12-11-11.571600,53.37
2024-05-29_12-11-11.604394,49.46
2024-05-29_12-11-11.637078,44.16
2024-05-29_12-11-11.669837,55.79
2024-05-29_12-11-11.698520,69.89
2024-05-29_12-11-11.731285,82.33
2024-05-29_12-11-11.764071,58.11
2024-05-29_12-11-11.796872,44.11
2024-05-29_12-11-11.829615,53.14
2024-05-29_12-11-11.862367,41.20
2024-05-29_12-11-11.895104,51.86
2024-05-29_12-11-11.923773,48.49
2024-05-29_12-11-11.956546,46.34
2024-05-29_12-11-11.989387,53.77
2024-05-29_12-11-12.022113,41.11
