timestamp,EMG
2024-05-28_13-23-29.139201,",65.98"
2024-05-28_13-23-29.139753,"72.14,77.20"
2024-05-28_13-23-29.140433,"71.64,74.28"
2024-05-28_13-23-29.140618,".05,61.08"
2024-05-28_13-23-29.140729,"68.88,68.85"
2024-05-28_13-23-29.140895,"84.99,67.82"
2024-05-28_13-23-29.141029,"70.83,71.83"
2024-05-28_13-23-29.141124,"68.45,73.46"
2024-05-28_13-23-29.141270,"57.21,64.59"
2024-05-28_13-23-29.141387,"51.46,65.13"
2024-05-28_13-23-29.141476,"66.10,65.98"
2024-05-28_13-23-29.141573,"72.14,77.20"
2024-05-28_13-23-29.141657,"71.64,74.28"
2024-05-28_13-23-30.798985,"78.46,61.34"
2024-05-28_13-23-30.826730,"74.16,65.35"
2024-05-28_13-23-30.859297,"100.46,73.27"
2024-05-28_13-23-30.891993,"85.26,60.24"
2024-05-28_13-23-30.920737,"55.69,62.86"
2024-05-28_13-23-30.953635,"76.56,63.22"
2024-05-28_13-23-30.986385,"68.07,71.76"
2024-05-28_13-23-31.019075,"55.91,68.42"
2024-05-28_13-23-31.052054,"71.79,67.31"
2024-05-28_13-23-31.084652,"71.79,69.68"
2024-05-28_13-23-31.117271,"61.17,75.97"
2024-05-28_13-23-31.146048,"86.46,72.27"
2024-05-28_13-23-31.178784,"92.88,64.76"
2024-05-28_13-23-31.211678,"83.20,58.22"
2024-05-28_13-23-31.244362,"54.02,63.68"
2024-05-28_13-23-31.277122,"68.82,71.18"
2024-05-28_13-23-31.309837,"64.55,65.92"
2024-05-28_13-23-31.342590,"57.71,68.19"
2024-05-28_13-23-31.371489,"77.23,75.10"
2024-05-28_13-23-31.404099,"82.62,66.79"
2024-05-28_13-23-31.436796,"66.61,73.32"
2024-05-28_13-23-31.469681,"85.69,72.92"
2024-05-28_13-23-31.502443,"88.80,61.36"
2024-05-28_13-23-31.535115,"53.24,54.64"
2024-05-28_13-23-31.567801,"63.79,71.18"
2024-05-28_13-23-31.596549,"62.80,65.90"
2024-05-28_13-23-31.629318,"60.85,64.99"
2024-05-28_13-23-31.662094,"56.42,71.04"
2024-05-28_13-23-31.694837,"91.00,76.65"
2024-05-28_13-23-31.727617,"70.30,70.20"
2024-05-28_13-23-31.760398,"64.94,66.33"
2024-05-28_13-23-31.793146,"84.01,71.45"
2024-05-28_13-23-31.825804,"91.42,60.22"
2024-05-28_13-23-31.854600,"63.72,75.39"
2024-05-28_13-23-31.887355,"49.46,66.30"
2024-05-28_13-23-31.920141,"75.94,65.19"
2024-05-28_13-23-31.952888,"77.35,69.39"
2024-05-28_13-23-31.985676,"63.84,81.16"
2024-05-28_13-23-32.018401,"88.35,77.97"
2024-05-28_13-23-32.051047,"65.06,70.58"
2024-05-28_13-23-32.079864,"71.80,68.75"
2024-05-28_13-23-32.112659,"100.29,70.69"
2024-05-28_13-23-32.145414,"92.09,62.72"
2024-05-28_13-23-32.178216,"53.47,63.66"
2024-05-28_13-23-32.210989,"49.68,64.86"
2024-05-28_13-23-32.243666,"77.24,66.37"
2024-05-28_13-23-32.276339,"61.42,65.66"
2024-05-28_13-23-32.305110,"79.66,85.69"
2024-05-28_13-23-32.337873,"84.78,76.65"
2024-05-28_13-23-32.370652,"67.23,69.27"
2024-05-28_13-23-32.403400,"77.24,66.72"
2024-05-28_13-23-32.436224,"104.76,73.93"
2024-05-28_13-23-32.468960,"86.52,60.40"
2024-05-28_13-23-32.501645,"54.31,63.37"
2024-05-28_13-23-32.530390,"52.30,65.36"
2024-05-28_13-23-32.563206,"74.58,65.76"
2024-05-28_13-23-32.595904,"60.43,73.95"
2024-05-28_13-23-32.628685,"70.68,66.78"
2024-05-28_13-23-32.661451,"85.62,75.39"
2024-05-28_13-23-32.694220,"66.24,68.80"
2024-05-28_13-23-32.726871,"85.63,63.89"
2024-05-28_13-23-32.755649,"98.72,75.40"
2024-05-28_13-23-32.788403,"85.06,59.34"
2024-05-28_13-23-32.821180,"55.17,64.03"
2024-05-28_13-23-32.853935,"65.61,64.36"
2024-05-28_13-23-32.886657,"66.37,72.66"
2024-05-28_13-23-32.919426,"54.98,68.36"
2024-05-28_13-23-32.952135,"67.59,78.91"
2024-05-28_13-23-32.980987,"76.10,65.41"
2024-05-28_13-23-33.013713,"65.91,72.57"
2024-05-28_13-23-33.046467,"82.70,71.36"
2024-05-28_13-23-33.079211,"89.44,60.40"
2024-05-28_13-23-33.111966,"55.67,56.80"
2024-05-28_13-23-33.144722,"39.66,63.64"
2024-05-28_13-23-33.177405,"69.03,72.32"
2024-05-28_13-23-33.206174,"62.13,65.91"
2024-05-28_13-23-33.248965,"55.17,68.43"
2024-05-28_13-23-33.271668,"90.34,76.81"
2024-05-28_13-23-33.304447,"71.32,62.28"
2024-05-28_13-23-33.337216,"69.21,72.59"
2024-05-28_13-23-33.370016,"87.97,74.54"
2024-05-28_13-23-33.402675,"90.03,60.82"
2024-05-28_13-23-33.431417,"50.40,54.88"
2024-05-28_13-23-33.464249,"63.65,72.05"
2024-05-28_13-23-33.497009,"64.82,65.20"
2024-05-28_13-23-33.529787,"57.51,66.79"
2024-05-28_13-23-33.563048,"59.69,69.89"
2024-05-28_13-23-33.595855,"61.29,81.45"
2024-05-28_13-23-33.635207,"81.61,73.44"
2024-05-28_13-23-33.657644,"69.29,67.78"
2024-05-28_13-23-33.689487,"77.31,65.23"
2024-05-28_13-23-33.722183,"90.08,61.64"
2024-05-28_13-23-33.754971,"70.04,65.96"
2024-05-28_13-23-33.787817,"51.78,73.44"
2024-05-28_13-23-33.820492,"65.47,66.73"
2024-05-28_13-23-33.853205,"57.95,74.21"
2024-05-28_13-23-33.881948,"49.50,66.97"
2024-05-28_13-23-33.914791,"92.38,74.92"
2024-05-28_13-23-33.947493,"67.43,72.30"
2024-05-28_13-23-33.980262,"63.04,69.96"
2024-05-28_13-23-34.012989,"84.31,67.11"
2024-05-28_13-23-34.045732,"102.10,63.92"
2024-05-28_13-23-34.078505,"67.86,63.13"
2024-05-28_13-23-34.107324,"56.79,66.80"
2024-05-28_13-23-34.140022,"71.06,64.31"
2024-05-28_13-23-34.172748,"70.65,64.24"
2024-05-28_13-23-34.205561,"57.38,74.22"
2024-05-28_13-23-34.238300,"93.34,72.96"
2024-05-28_13-23-34.271080,"69.20,68.44"
2024-05-28_13-23-34.303706,"65.34,67.83"
2024-05-28_13-23-34.332486,"82.44,72.60"
2024-05-28_13-23-34.365269,"103.44,67.67"
2024-05-28_13-23-34.398057,"41.71,47.13"
2024-05-28_13-23-34.430810,"52.52,67.53"
2024-05-28_13-23-34.463575,"54.45,63.66"
2024-05-28_13-23-34.496280,"72.08,72.58"
2024-05-28_13-23-34.528981,"55.19,68.02"
2024-05-28_13-23-34.576824,"92.53,72.42"
2024-05-28_13-23-34.596541,"67.50,72.29"
2024-05-28_13-23-34.627110,"65.17,64.85"
2024-05-28_13-23-34.662651,"94.48,72.46"
2024-05-28_13-23-34.688999,"101.45,60.35"
2024-05-28_13-23-34.721574,"61.50,65.42"
2024-05-28_13-23-34.754207,"55.56,65.46"
2024-05-28_13-23-34.783028,"76.10,70.83"
2024-05-28_13-23-34.815809,"64.51,68.24"
2024-05-28_13-23-34.848574,"71.03,66.02"
2024-05-28_13-23-34.881465,"88.20,70.48"
2024-05-28_13-23-34.914182,"65.91,76.63"
2024-05-28_13-23-34.946843,"73.27,71.29"
2024-05-28_13-23-34.979556,"90.05,63.48"
2024-05-28_13-23-35.008258,"62.83,68.99"
2024-05-28_13-23-35.041027,"75.74,65.08"
2024-05-28_13-23-35.073871,"47.41,70.97"
2024-05-28_13-23-35.107287,"70.53,66.05"
2024-05-28_13-23-35.139494,"61.63,67.99"
2024-05-28_13-23-35.172192,"76.59,72.19"
2024-05-28_13-23-35.204783,"82.94,60.52"
2024-05-28_13-23-35.237468,"60.42,76.38"
2024-05-28_13-23-35.266282,"74.28,71.31"
2024-05-28_13-23-35.299160,"94.32,67.37"
2024-05-28_13-23-35.331876,"73.81,60.62"
2024-05-28_13-23-35.364657,"50.32,72.57"
2024-05-28_13-23-35.397385,"50.97,64.40"
2024-05-28_13-23-35.430127,"69.03,65.43"
2024-05-28_13-23-35.462806,"58.90,67.36"
2024-05-28_13-23-35.491811,"76.49,76.55"
2024-05-28_13-23-35.524383,"68.21,67.99"
2024-05-28_13-23-35.557150,"55.33,66.12"
2024-05-28_13-23-35.589860,"86.98,69.66"
2024-05-28_13-23-35.622626,"104.41,68.22"
2024-05-28_13-23-35.655394,"59.50,71.88"
2024-05-28_13-23-35.688076,"50.82,68.79"
2024-05-28_13-23-35.716843,"54.43,64.77"
2024-05-28_13-23-35.749637,"67.60,65.06"
2024-05-28_13-23-35.782334,"54.68,66.78"
2024-05-28_13-23-35.815123,"94.94,79.15"
2024-05-28_13-23-35.847939,"65.50,72.34"
2024-05-28_13-23-35.880666,"60.70,67.10"
2024-05-28_13-23-35.913364,"90.42,71.40"
2024-05-28_13-23-35.942100,"101.04,64.75"
2024-05-28_13-23-35.974854,"56.65,60.23"
2024-05-28_13-23-36.007605,"51.95,65.65"
2024-05-28_13-23-36.040348,"72.51,65.42"
2024-05-28_13-23-36.073130,"70.15,64.33"
2024-05-28_13-23-36.105875,"67.55,74.39"
2024-05-28_13-23-36.138616,"88.03,74.80"
2024-05-28_13-23-36.167398,"63.68,71.21"
2024-05-28_13-23-36.200112,"65.50,67.84"
2024-05-28_13-23-36.232884,"93.01,74.32"
2024-05-28_13-23-36.265723,"101.55,61.74"
2024-05-28_13-23-36.298461,"61.12,64.28"
2024-05-28_13-23-36.331205,"58.17,67.20"
2024-05-28_13-23-36.363895,"68.70,63.77"
2024-05-28_13-23-36.392668,"63.90,73.13"
2024-05-28_13-23-36.425491,"67.52,69.32"
2024-05-28_13-23-36.458239,"84.68,71.32"
2024-05-28_13-23-36.490943,"59.72,71.25"
2024-05-28_13-23-36.523784,"72.06,66.50"
2024-05-28_13-23-36.556438,"94.85,73.66"
2024-05-28_13-23-36.589088,"77.82,58.05"
2024-05-28_13-23-36.617864,"52.94,65.39"
2024-05-28_13-23-36.651192,"60.01,64.48"
2024-05-28_13-23-36.683542,"68.77,71.19"
2024-05-28_13-23-36.716217,"57.40,68.59"
2024-05-28_13-23-36.748941,"82.91,66.45"
2024-05-28_13-23-36.781800,"104.38,66.98"
2024-05-28_13-23-36.814402,"60.91,75.63"
2024-05-28_13-23-36.845000,"74.37,71.77"
2024-05-28_13-23-36.875975,"90.38,63.92"
2024-05-28_13-23-36.908899,"62.51,57.44"
2024-05-28_13-23-36.941504,"47.35,64.23"
2024-05-28_13-23-36.974233,"45.05,71.23"
2024-05-28_13-23-37.006933,"68.14,67.49"
2024-05-28_13-23-37.039744,"55.80,69.04"
2024-05-28_13-23-37.068523,"74.70,70.48"
2024-05-28_13-23-37.101278,"78.56,68.77"
2024-05-28_13-23-37.134034,"58.14,76.03"
2024-05-28_13-23-37.166668,"74.83,71.86"
2024-05-28_13-23-37.199514,"93.39,66.34"
2024-05-28_13-23-37.232256,"58.03,49.96"
2024-05-28_13-23-37.264925,"66.32,73.42"
2024-05-28_13-23-37.293861,"46.54,63.98"
2024-05-28_13-23-37.326521,"67.40,64.93"
2024-05-28_13-23-37.359220,"61.69,67.45"
2024-05-28_13-23-37.391967,"84.93,78.03"
2024-05-28_13-23-37.424714,"66.70,68.14"
2024-05-28_13-23-37.457543,"55.51,66.61"
2024-05-28_13-23-37.490267,"85.61,69.68"
2024-05-28_13-23-37.522921,"104.06,80.53"
2024-05-28_13-23-37.551705,"60.44,52.70"
2024-05-28_13-23-37.584461,"51.94,69.34"
2024-05-28_13-23-37.617252,"51.56,63.81"
2024-05-28_13-23-37.649973,"70.95,65.22"
2024-05-28_13-23-37.682719,"71.23,67.98"
2024-05-28_13-23-37.715476,"91.59,78.21"
2024-05-28_13-23-37.744257,"67.15,71.97"
2024-05-28_13-23-37.776979,"61.58,69.30"
2024-05-28_13-23-37.809734,"91.28,69.40"
2024-05-28_13-23-37.842470,"100.25,74.80"
2024-05-28_13-23-37.875234,"61.08,64.08"
2024-05-28_13-23-37.908066,"54.02,67.92"
2024-05-28_13-23-37.940738,"71.03,64.10"
2024-05-28_13-23-37.973462,"70.82,64.47"
2024-05-28_13-23-38.002351,"67.63,75.20"
2024-05-28_13-23-38.035204,"89.23,79.93"
2024-05-28_13-23-38.067749,"45.81,68.80"
2024-05-28_13-23-38.100534,"71.20,67.22"
2024-05-28_13-23-38.133296,"93.68,72.28"
2024-05-28_13-23-38.166067,"77.12,58.29"
2024-05-28_13-23-38.198672,"47.04,64.03"
2024-05-28_13-23-38.227488,"60.69,65.81"
2024-05-28_13-23-38.260256,"69.50,64.18"
2024-05-28_13-23-38.293068,"73.77,74.59"
2024-05-28_13-23-38.325789,"65.10,68.78"
2024-05-28_13-23-38.358525,"79.49,69.66"
2024-05-28_13-23-38.391289,"55.36,73.18"
2024-05-28_13-23-38.424001,"82.90,64.77"
2024-05-28_13-23-38.452788,"94.68,73.47"
2024-05-28_13-23-38.485551,"80.31,61.04"
2024-05-28_13-23-38.518455,"65.23,64.66"
2024-05-28_13-23-38.551075,"53.74,65.94"
2024-05-28_13-23-38.583782,"59.24,71.97"
2024-05-28_13-23-38.616528,"74.44,67.62"
2024-05-28_13-23-38.649228,"70.45,67.63"
2024-05-28_13-23-38.678098,"81.95,69.53"
2024-05-28_13-23-38.710805,"53.96,75.47"
2024-05-28_13-23-38.743500,"82.67,71.49"
2024-05-28_13-23-38.776322,"94.96,65.91"
2024-05-28_13-23-38.809092,"62.69,52.73"
2024-05-28_13-23-38.841791,"68.49,63.86"
2024-05-28_13-23-38.874510,"47.00,72.74"
2024-05-28_13-23-38.903261,"66.63,66.31"
2024-05-28_13-23-38.936034,"73.99,66.91"
2024-05-28_13-23-38.968815,"73.23,71.54"
2024-05-28_13-23-39.001590,"74.78,66.66"
2024-05-28_13-23-39.034348,"46.12,77.49"
2024-05-28_13-23-39.067141,"74.38,69.60"
2024-05-28_13-23-39.099801,"99.33,66.00"
2024-05-28_13-23-39.128620,"57.76,50.31"
2024-05-28_13-23-39.161461,"66.49,73.68"
2024-05-28_13-23-39.194125,"49.22,64.52"
2024-05-28_13-23-39.226909,"66.28,65.29"
2024-05-28_13-23-39.259648,"71.42,67.67"
2024-05-28_13-23-39.292560,"72.60,79.12"
2024-05-28_13-23-39.325070,"75.76,66.79"
2024-05-28_13-23-39.353981,"52.91,67.67"
2024-05-28_13-23-39.387519,"85.16,71.39"
2024-05-28_13-23-39.419398,"104.28,74.88"
2024-05-28_13-23-39.452363,"44.19,48.43"
2024-05-28_13-23-39.484892,"53.23,69.45"
2024-05-28_13-23-39.517625,"50.85,62.99"
2024-05-28_13-23-39.550293,"80.61,65.46"
2024-05-28_13-23-39.579074,"76.57,67.49"
2024-05-28_13-23-39.611834,"65.86,79.90"
2024-05-28_13-23-39.644578,"76.78,61.36"
2024-05-28_13-23-39.677378,"57.63,70.64"
2024-05-28_13-23-39.710136,"89.47,70.33"
2024-05-28_13-23-39.742966,"99.36,80.78"
2024-05-28_13-23-39.775659,"60.18,65.55"
2024-05-28_13-23-39.804327,"53.05,68.08"
2024-05-28_13-23-39.837089,"52.09,63.79"
2024-05-28_13-23-39.870028,"70.24,64.85"
2024-05-28_13-23-39.904335,"77.82,74.73"
2024-05-28_13-23-39.935446,"61.18,75.34"
2024-05-28_13-23-39.968191,"76.21,61.51"
2024-05-28_13-23-40.000932,"60.26,71.29"
2024-05-28_13-23-40.029613,"91.23,72.80"
2024-05-28_13-23-40.062351,"62.13,71.27"
2024-05-28_13-23-40.095148,"34.54,64.00"
2024-05-28_13-23-40.127891,"80.78,66.85"
2024-05-28_13-23-40.160683,"49.84,63.34"
2024-05-28_13-23-40.193443,"73.54,72.16"
2024-05-28_13-23-40.226144,"60.58,67.97"
2024-05-28_13-23-40.254848,"65.50,75.62"
2024-05-28_13-23-40.287640,"75.92,62.81"
2024-05-28_13-23-40.320400,"66.11,66.24"
2024-05-28_13-23-40.353176,"93.18,72.97"
2024-05-28_13-23-40.385907,"104.96,70.46"
2024-05-28_13-23-40.418683,"48.80,66.30"
2024-05-28_13-23-40.451383,"51.82,66.35"
2024-05-28_13-23-40.480155,"60.48,70.72"
2024-05-28_13-23-40.512883,"68.92,67.58"
2024-05-28_13-23-40.545650,"73.36,67.62"
2024-05-28_13-23-40.578420,"64.10,74.67"
2024-05-28_13-23-40.611193,"73.05,69.97"
2024-05-28_13-23-40.643981,"68.47,71.43"
2024-05-28_13-23-40.676668,"87.08,64.13"
2024-05-28_13-23-40.709371,"93.77,69.01"
2024-05-28_13-23-40.738138,"55.68,48.64"
2024-05-28_13-23-40.770924,"59.25,72.97"
2024-05-28_13-23-40.804315,"49.08,66.61"
2024-05-28_13-23-40.836533,"83.85,66.97"
2024-05-28_13-23-40.869271,"73.08,67.02"
2024-05-28_13-23-40.901930,"57.04,72.80"
2024-05-28_13-23-40.934604,"71.90,72.52"
2024-05-28_13-23-40.963383,"68.95,71.85"
2024-05-28_13-23-40.996162,"91.53,65.48"
2024-05-28_13-23-41.029010,"92.91,71.74"
2024-05-28_13-23-41.061701,"56.75,77.11"
2024-05-28_13-23-41.094430,"55.01,62.53"
2024-05-28_13-23-41.127182,"80.42,68.05"
2024-05-28_13-23-41.159994,"76.07,68.12"
2024-05-28_13-23-41.188651,"60.50,69.32"
2024-05-28_13-23-41.221426,"80.11,79.36"
2024-05-28_13-23-41.254178,"51.93,71.78"
2024-05-28_13-23-41.286964,"83.08,70.38"
2024-05-28_13-23-41.319732,"100.96,66.01"
2024-05-28_13-23-41.352426,"70.18,61.77"
2024-05-28_13-23-41.385193,"58.69,72.81"
2024-05-28_13-23-41.413954,"61.47,63.80"
2024-05-28_13-23-41.446693,"74.42,67.13"
2024-05-28_13-23-41.479487,"79.02,66.21"
2024-05-28_13-23-41.512232,"56.53,75.70"
2024-05-28_13-23-41.544978,"83.03,74.51"
2024-05-28_13-23-41.577714,"55.08,69.86"
